ID_Tiempo,Año,Trimestre,Mes,Día
116,2024,Qtr 4,diciembre,30
117,2025,Qtr 1,enero,4
118,2024,Qtr 3,agosto,31
119,2024,Qtr 3,septiembre,18
120,2024,Qtr 4,octubre,23
121,2025,Qtr 2,abril,27
122,2024,Qtr 2,junio,30
123,2025,Qtr 2,abril,1
124,2024,Qtr 4,diciembre,4
125,2024,Qtr 2,mayo,18
126,2025,Qtr 1,marzo,4
127,2024,Qtr 2,mayo,23
128,2025,Qtr 1,febrero,25
129,2024,Qtr 4,noviembre,13
130,2025,Qtr 1,febrero,11
131,2024,Qtr 2,mayo,22
132,2025,Qtr 1,enero,22
133,2025,Qtr 2,mayo,17
134,2024,Qtr 2,mayo,17
135,2024,Qtr 4,diciembre,15
136,2025,Qtr 1,marzo,26
137,2024,Qtr 4,octubre,26
138,2024,Qtr 3,agosto,28
139,2024,Qtr 3,julio,12
140,2024,Qtr 2,junio,23
141,2025,Qtr 1,enero,1
142,2024,Qtr 4,noviembre,27
143,2024,Qtr 3,julio,22
144,2024,Qtr 3,agosto,4
145,2024,Qtr 4,diciembre,27
146,2025,Qtr 1,febrero,23
147,2024,Qtr 4,octubre,15
148,2024,Qtr 4,diciembre,31
149,2024,Qtr 3,agosto,24
150,2024,Qtr 3,septiembre,16
151,2025,Qtr 2,abril,29
152,2024,Qtr 2,junio,13
153,2024,Qtr 3,julio,10
154,2025,Qtr 2,abril,4
155,2024,Qtr 3,agosto,22
156,2025,Qtr 1,febrero,1
157,2025,Qtr 1,febrero,7
158,2025,Qtr 2,mayo,12
159,2024,Qtr 4,octubre,20
160,2025,Qtr 2,mayo,6
161,2025,Qtr 1,marzo,28
162,2024,Qtr 3,agosto,15
163,2025,Qtr 1,enero,24
164,2024,Qtr 2,junio,17
165,2025,Qtr 1,marzo,30
166,2024,Qtr 3,julio,31
167,2024,Qtr 3,julio,3
168,2025,Qtr 1,enero,19
169,2024,Qtr 3,septiembre,27
170,2025,Qtr 2,mayo,5
171,2025,Qtr 1,enero,17
172,2024,Qtr 2,junio,11
173,2024,Qtr 2,mayo,27
174,2024,Qtr 3,septiembre,22
175,2024,Qtr 3,septiembre,4
176,2024,Qtr 3,julio,5
177,2025,Qtr 2,mayo,11
178,2025,Qtr 1,febrero,20
179,2025,Qtr 1,febrero,6
180,2024,Qtr 4,diciembre,9
181,2024,Qtr 3,julio,19
182,2025,Qtr 1,enero,28
183,2024,Qtr 4,diciembre,6
184,2025,Qtr 1,marzo,18
185,2025,Qtr 2,mayo,10
186,2024,Qtr 4,noviembre,15
187,2025,Qtr 1,marzo,11
188,2024,Qtr 4,noviembre,30
189,2025,Qtr 2,abril,30
190,2024,Qtr 4,noviembre,21
191,2025,Qtr 1,febrero,26
192,2024,Qtr 4,noviembre,23
193,2024,Qtr 4,diciembre,17
194,2024,Qtr 3,septiembre,10
195,2025,Qtr 2,mayo,3
196,2025,Qtr 2,abril,8
197,2025,Qtr 1,febrero,28
198,2024,Qtr 3,septiembre,30
199,2024,Qtr 4,noviembre,12
200,2024,Qtr 4,octubre,10
201,2025,Qtr 1,enero,21
202,2024,Qtr 3,septiembre,1
203,2024,Qtr 2,mayo,21
204,2024,Qtr 2,junio,8
205,2024,Qtr 3,julio,11
206,2025,Qtr 1,enero,25
207,2024,Qtr 4,noviembre,3
208,2025,Qtr 1,marzo,29
209,2024,Qtr 3,agosto,2
210,2025,Qtr 1,marzo,8
211,2024,Qtr 3,septiembre,29
212,2024,Qtr 2,junio,24
213,2025,Qtr 2,abril,3
214,2025,Qtr 1,marzo,23
215,2024,Qtr 3,julio,16
216,2025,Qtr 1,enero,9
217,2025,Qtr 1,marzo,24
218,2024,Qtr 2,mayo,28
219,2024,Qtr 2,junio,1
220,2025,Qtr 1,marzo,9
221,2024,Qtr 4,octubre,8
222,2024,Qtr 4,octubre,28
223,2024,Qtr 2,junio,15
224,2024,Qtr 4,noviembre,14
225,2025,Qtr 2,mayo,16
226,2024,Qtr 3,agosto,12
227,2024,Qtr 4,noviembre,7
228,2025,Qtr 1,febrero,12
229,2024,Qtr 4,noviembre,28
230,2024,Qtr 4,noviembre,1
231,2024,Qtr 3,septiembre,2
232,2025,Qtr 2,mayo,15
233,2025,Qtr 1,enero,12
234,2024,Qtr 2,junio,22
235,2024,Qtr 3,julio,2
236,2024,Qtr 2,mayo,30
237,2025,Qtr 2,abril,10
238,2025,Qtr 2,mayo,13
239,2024,Qtr 4,noviembre,16
240,2024,Qtr 2,junio,28
241,2025,Qtr 1,marzo,2
242,2024,Qtr 2,mayo,25
243,2025,Qtr 2,abril,19
244,2024,Qtr 4,octubre,5
245,2024,Qtr 2,junio,3
246,2024,Qtr 3,septiembre,20
247,2024,Qtr 4,octubre,13
248,2024,Qtr 3,septiembre,5
249,2025,Qtr 1,enero,26
250,2025,Qtr 1,enero,11
251,2024,Qtr 4,diciembre,3
252,2024,Qtr 3,septiembre,19
253,2025,Qtr 1,enero,2
254,2024,Qtr 3,julio,26
255,2025,Qtr 2,abril,5
256,2025,Qtr 2,abril,7
257,2025,Qtr 1,enero,8
258,2025,Qtr 1,febrero,10
259,2024,Qtr 3,julio,20
260,2024,Qtr 4,octubre,18
261,2024,Qtr 3,julio,25
262,2025,Qtr 1,febrero,15
263,2024,Qtr 4,octubre,3
264,2025,Qtr 1,enero,3
265,2025,Qtr 2,abril,21
266,2024,Qtr 3,septiembre,3
267,2025,Qtr 1,marzo,10
268,2025,Qtr 1,febrero,19
269,2025,Qtr 2,abril,23
270,2024,Qtr 3,agosto,26
271,2024,Qtr 3,julio,14
272,2024,Qtr 3,agosto,20
273,2024,Qtr 4,diciembre,13
274,2025,Qtr 1,enero,5
275,2024,Qtr 3,agosto,10
276,2024,Qtr 4,octubre,31
277,2024,Qtr 2,junio,29
278,2025,Qtr 1,marzo,6
279,2025,Qtr 1,febrero,17
280,2024,Qtr 3,septiembre,17
281,2024,Qtr 3,julio,27
282,2024,Qtr 3,agosto,18
283,2025,Qtr 1,marzo,31
284,2025,Qtr 1,febrero,3
285,2025,Qtr 2,abril,14
286,2024,Qtr 3,julio,7
287,2024,Qtr 4,diciembre,1
288,2024,Qtr 4,diciembre,26
289,2024,Qtr 3,julio,4
290,2025,Qtr 1,marzo,22
291,2024,Qtr 4,octubre,14
292,2024,Qtr 4,noviembre,25
293,2025,Qtr 2,mayo,4
294,2024,Qtr 3,julio,9
295,2024,Qtr 2,junio,9
296,2024,Qtr 4,diciembre,10
297,2025,Qtr 2,abril,18
298,2025,Qtr 2,mayo,7
299,2024,Qtr 2,junio,16
300,2024,Qtr 3,julio,18
301,2024,Qtr 3,agosto,23
302,2024,Qtr 4,octubre,19
303,2024,Qtr 3,julio,30
304,2025,Qtr 2,abril,17
305,2024,Qtr 4,diciembre,19
306,2025,Qtr 1,febrero,5
307,2025,Qtr 1,enero,23
308,2024,Qtr 3,agosto,17
309,2024,Qtr 3,agosto,16
310,2024,Qtr 2,junio,21
311,2025,Qtr 2,mayo,1
312,2024,Qtr 3,agosto,11
313,2024,Qtr 4,octubre,7
314,2024,Qtr 2,junio,10
315,2025,Qtr 1,enero,18
316,2025,Qtr 1,marzo,25
317,2025,Qtr 2,abril,9
318,2024,Qtr 3,septiembre,15
319,2024,Qtr 2,junio,6
320,2024,Qtr 3,agosto,27
321,2024,Qtr 2,junio,12
322,2025,Qtr 2,abril,22
323,2024,Qtr 3,agosto,5
324,2025,Qtr 1,febrero,24
325,2024,Qtr 4,octubre,16
326,2024,Qtr 3,julio,13
327,2024,Qtr 4,noviembre,26
328,2024,Qtr 4,octubre,25
329,2024,Qtr 3,julio,23
330,2025,Qtr 2,abril,28
331,2024,Qtr 4,diciembre,12
332,2025,Qtr 1,febrero,2
333,2024,Qtr 3,agosto,3
334,2025,Qtr 1,enero,16
335,2024,Qtr 3,septiembre,21
336,2025,Qtr 1,febrero,8
337,2024,Qtr 4,diciembre,22
338,2024,Qtr 3,agosto,14
339,2024,Qtr 3,septiembre,26
340,2025,Qtr 2,mayo,8
341,2024,Qtr 4,octubre,27
342,2024,Qtr 4,noviembre,10
343,2025,Qtr 1,febrero,22
344,2025,Qtr 1,febrero,21
345,2024,Qtr 2,mayo,19
346,2024,Qtr 3,septiembre,12
347,2024,Qtr 4,octubre,4
348,2024,Qtr 4,octubre,29
349,2025,Qtr 1,marzo,13
350,2024,Qtr 3,agosto,8
351,2024,Qtr 3,septiembre,14
352,2024,Qtr 4,diciembre,23
353,2024,Qtr 2,junio,26
354,2025,Qtr 1,marzo,19
355,2024,Qtr 4,diciembre,24
356,2025,Qtr 1,enero,27
357,2025,Qtr 1,marzo,20
358,2024,Qtr 2,junio,19
359,2024,Qtr 2,mayo,24
360,2025,Qtr 1,enero,14
361,2024,Qtr 4,octubre,22
362,2024,Qtr 3,septiembre,28
363,2025,Qtr 2,abril,16
364,2024,Qtr 3,julio,29
365,2024,Qtr 3,agosto,21
366,2024,Qtr 4,diciembre,29
